course_name,course_credits,course_uni,course_location,application_status,initial_tuition_fee,total_tuition_fee,period,course_dates,level,language_of_instruction,application_code,teaching_form,meetings,pace_of_study,instructional_time,location,subject_areas,top_level_subjects,course_starts,link
Japanese: Bachelors Degree Thesis,15,Dalarna University,Varied,Closed for late application,21750,21750,Autumn 2023 Period 1,28 Aug - 14 Jan,Bachelor's,English,HDA-H3FGJ,"Course, Distance",4,Half-time,Daytime,Varied,"Japanese, Languages",Languages,,http://www.du.se/redirect/course.aspx?language=en&code=GJP23Y&applicationcode=H3FGJ
Jewish Cultural Responses to the Holocaust,15,Lund University,Varied,Closed for late application,27500,27500,Autumn 2023 Period 1,28 Aug - 14 Jan,Bachelor's,English,LU-E1019,"Course, Distance",0,Half-time,Afternoon,Varied,Yiddish,Languages,,http://www.lunduniversity.lu.se/lubas/i-uoh-lu-YIDC03/E1019
Joint Master's Programme in Health Informatics,120,Karolinska Institutet,Solna,Closed for late application,82500,330000,Autumn 2023 Period 1,,Master's,English,KI-D1003,"Programme, On-campus",,Full-time,Daytime,Solna,"Health and Medical Care, Health Informatics, Health Informatics, Information Technology",Health and Medical Care | Technology | Computer Science and Engineering,28 Aug,https://education.ki.se/programme/5HI17/23-24
Joint Nordic Master's Programme in Environmental Law,120,Uppsala University,Uppsala,Closed for late application,Information not available,Information not available,Autumn 2023 Period 1,,Master's,English,UU-M2880,"Programme, On-campus",,Full-time,Daytime,Uppsala,,,28 Aug,http://www.uu.se/en/admissions/master/selma/program/?pKod=JMI2N&pInr=&lasar=23%2F24
Journalism and International Conflicts,15,Södertörn University,Huddinge,Closed for late application,30000,30000,Autumn 2023 Period 2,30 Oct - 14 Jan,Master's,English,SH-43073,"Course, On-campus",,Full-time,Daytime,Huddinge,Journalism,"Journalism, Communication and Information",,https://sh.se/study?code=1105JO&lang=en
Journalistic Writing,7.5,Stockholm University,Stockholm,Open for late application,15625,15625,Autumn 2023 Period 1,28 Aug - 29 Oct,Bachelor's,English,SU-18195,"Course, On-campus",,Half-time,Daytime,Stockholm,Journalism,"Journalism, Communication and Information",,https://sisu.it.su.se/search/info/JO3056/en?eventident=18195&semester=20234
Key Issues in Middle East Studies,7.5,Stockholm University,Stockholm,Submit your application on an external website.,11250,11250,Autumn 2023 Period 2,,Master's,English,SU-28779,"Course, On-campus",,Half-time,Daytime,Stockholm,Middle East Studies,Humanities | Social Science and Behavioural Science,,https://sisu.it.su.se/search/info/ABMKEY/en?eventident=28779&semester=20234
Kinetic Theory,7.5,Karlstad University,Karlstad,Open for late application,21000,21000,Autumn 2023 Period 1,28 Aug - 14 Jan,Master's,English,KAU-41766,"Course, On-campus",,One-quarter-time,Daytime,Karlstad,Mathematics,Mathematics,,http://www.kau.se/en/education/programmes-and-courses/courses/MAAD02?occasion=41766
Knowledge based strategies for business development,7.5,Linnaeus University (Kalmar Växjö),Varied,Closed for late application,18200,18200,Autumn 2023 Period 1,28 Aug - 14 Jan,Master's,English,LNU-F2039,"Course, Distance",0,One-quarter-time,Mixed-time,Varied,Information Systems,Computer Science and Engineering,,https://lnu.se/en/course/4IK530/20232/F2039
Korean Literature and Film,7.5,Stockholm University,Stockholm,Open for late application,11250,11250,Autumn 2023 Period 1,4 Sept - 14 Jan,Bachelor's,English,SU-28796,"Course, On-campus",,One-quarter-time,Daytime,Stockholm,Korean,Languages,,https://sisu.it.su.se/search/info/JKB918/en?eventident=28796&semester=20234
"Labour Market, Economic Growth and Inequality",7.5,Stockholm University,Stockholm,Closed and will not be opened for late application,11250,11250,Autumn 2023 Period 2,30 Oct - 14 Jan,Master's,English,SU-38477,"Course, On-campus",,Half-time,Daytime,Stockholm,Sociology,Social Science and Behavioural Science,,https://sisu.it.su.se/search/info/SO7071/en?eventident=38477&semester=20234
Land use and watershed management to reduce eutrophication,7.5,Swedish University of Agricultural Sciences,Uppsala,Open for late application,19030,19030,Autumn 2023 Period 2,30 Oct - 3 Dec,Master's,English,SLU-20204,"Course, On-campus",,Full-time,Daytime,Uppsala,"Environmental Science, Care and Protection, Soil Science","Care and Protection | Environmental Science | Natural Science | Agriculture, Horticulture, Forestry and Fishery",,https://student.slu.se/en/studies/courses-and-programmes/course-search/course/MV0217/20049.2223/Land-use-and-watershed-management-to-reduce-eutrophication/
Landscape Architecture for Sustainable Urbanisation - Master's Programme,120,Swedish University of Agricultural Sciences,Uppsala,Closed and will not be opened for late application,93000,372000,Autumn 2023 Period 1,,Master's,English,SLU-81049,"Programme, On-campus",,Full-time,Daytime,Uppsala,Landscape Architecture,"Materials, Construction and Manufacturing | Arts, Design and Media",28 Aug,http://www.slu.se/en/education/programmes-courses/masters-programmes/landscape-architecture-for-sustainable-urbanisation/
"Landscape Architecture Theory, Methodology & Practice",15,Swedish University of Agricultural Sciences,Lomma,Open for late application,74982,74982,Autumn 2023 Period 2,30 Oct - 14 Jan,Master's,English,SLU-20069,"Course, On-campus",,Full-time,Daytime,Lomma,Landscape Architecture,"Materials, Construction and Manufacturing | Arts, Design and Media",,https://www.slu.se/en/education/programmes-courses/course/db7f0f70-504b-11ed-9bb3-15472a47482f
Landscape Architecture- Master's Programme,120,Swedish University of Agricultural Sciences,Lomma,Closed and will not be opened for late application,93000,372000,Autumn 2023 Period 1,,Master's,English,SLU-81055,"Programme, On-campus",,Full-time,Daytime,Lomma,"Biology, Conservation, Design, Landscape Architecture","Humanities | Arts, Design and Media | Natural Science | Materials, Construction and Manufacturing",28 Aug,http://www.slu.se/en/education/programmes-courses/masters-programmes/landscape-architecture/
"Landscape architecture: History, theory and practice",15,Swedish University of Agricultural Sciences,Uppsala,Open for late application,74982,74982,Autumn 2023 Period 1,28 Aug - 5 Nov,Master's,English,SLU-10007,"Course, On-campus",,Full-time,Daytime,Uppsala,Landscape Architecture,"Materials, Construction and Manufacturing | Arts, Design and Media",,https://www.slu.se/en/education/programmes-courses/course/a73aeaa4-4a3d-11ed-8e62-1d9cdd564588
Landscape Ecology - Theory and Design,15,Stockholm University,Stockholm,Open for late application,35000,35000,Autumn 2023 Period 1,28 Aug - 29 Oct,Master's,English,SU-58281,"Course, On-campus",,Full-time,Daytime,Stockholm,Ecology,Natural Science,,https://sisu.it.su.se/search/info/GE7081/en?eventident=58281&semester=20234
Landscape planning in theory and practice,15,Swedish University of Agricultural Sciences,Uppsala,Open for late application,74982,74982,Autumn 2023 Period 2,30 Oct - 14 Jan,Master's,English,SLU-20076,"Course, On-campus",,Full-time,Daytime,Uppsala,Landscape Architecture,"Materials, Construction and Manufacturing | Arts, Design and Media",,https://www.slu.se/en/education/programmes-courses/course/f5dcd410-4acb-11ed-8e62-1d9cdd564588
Language and cognition,7.5,Umeå University,Varied,Open for late application,11625,11625,Autumn 2023 Period 2,30 Oct - 14 Jan,Master's,English,UMU-17514,"Course, Distance",0,Half-time,Mixed-time,Varied,"Cognitive Science, Linguistics",Humanities | Computer Science and Engineering | Social Science and Behavioural Science,,http://www.umu.se/english/education/courses-and-programmes/course?code=1LI071
Language and Education in an International Perspective,7.5,Stockholm University,Stockholm,Open for late application,11250,11250,Autumn 2023 Period 1,28 Aug - 1 Oct,Master's,English,SU-34812,"Course, On-campus",,Full-time,Daytime,Stockholm,Education,Education/Educational Sciences/Didactics,,https://sisu.it.su.se/search/info/PEA472/en?eventident=34812&semester=20234
Language Education - Theory and Application,7.5,Stockholm University,Varied,Open for late application,11250,11250,Autumn 2023 Period 2,30 Oct - 14 Jan,Master's,English,SU-17943,"Course, Distance",0,Half-time,Daytime,Varied,Educational Sciences/Didactics,Education/Educational Sciences/Didactics,,https://sisu.it.su.se/search/info/US545F/en?eventident=17943&semester=20234
Language of professional: French: Oral and written proficiency,7.5,Linköping University,Varied,Open for late application,8745,8745,Autumn 2023 Period 1,21 Aug - 21 Jan,Bachelor's,French,LIU-4Z110,"Course, Distance",0,One-quarter-time,Daytime,Varied,French,Languages,,https://liu.se/en/education/course/701G05
Language Situation and Language Policy in the Baltic Countries,7.5,Stockholm University,Stockholm,Closed for late application,15625,15625,Autumn 2023 Period 1,28 Aug - 14 Jan,Master's,English,SU-25068,"Course, On-campus",,One-quarter-time,Daytime,Stockholm,Languages,Languages,,https://sisu.it.su.se/search/info/BAL770/en?eventident=25068&semester=20234
Language Technology Project,7.5,University of Gothenburg,Göteborg,Open for late application,17500,17500,Autumn 2023 Period 2,30 Oct - 14 Jan,Master's,English,GU-12441,"Course, On-campus",,Half-time,Daytime,Göteborg,Computer Linguistics,Humanities | Computer Science and Engineering,,https://www.gu.se/en/study-gothenburg/LT2311
Language technology resources,7.5,University of Gothenburg,Göteborg,Open for late application,17500,17500,Autumn 2023 Period 2,30 Oct - 14 Jan,Master's,English,GU-12442,"Course, On-campus",,Half-time,Daytime,Göteborg,Computer Linguistics,Humanities | Computer Science and Engineering,,https://www.gu.se/en/study-gothenburg/LT2314
Languages and Societies in Africa,7.5,University of Gothenburg,Varied,Open for late application,11125,11125,Autumn 2023 Period 1,28 Aug - 14 Jan,Bachelor's,English,GU-13800,"Course, Distance",0,One-quarter-time,Mixed-time,Varied,Languages,Languages,,https://www.gu.se/en/study-gothenburg/AF1100
"Languages, Literature and Culture: Research Methodology and Academic Writing",7.5,Dalarna University,Varied,Closed for late application,10875,10875,Autumn 2023 Period 1,28 Aug - 5 Nov,Bachelor's,English,HDA-H3FYQ,"Course, Distance",8,Half-time,Mixed-time,Varied,"Chinese, Languages, Portuguese, Russian",Languages,,http://www.du.se/redirect/course.aspx?language=en&code=GPR2Z2&applicationcode=H3FYQ
Large Scale Challenges to the Climate and the Environment,15,Stockholm University,Stockholm,Open for late application,35000,35000,Autumn 2023 Period 1,28 Aug - 29 Oct,Master's,English,SU-70717,"Course, On-campus",,Full-time,Daytime,Stockholm,"Environmental Science, Care and Protection",Care and Protection | Environmental Science,,https://sisu.it.su.se/search/info/MI7014/en?eventident=70717&semester=20234
Large-Scale Optimization,7.5,University of Gothenburg,Göteborg,Open for late application,15500,15500,Autumn 2023 Period 2,30 Oct - 14 Jan,Master's,English,GU-11760,"Course, On-campus",,Half-time,Daytime,Göteborg,Mathematics,Mathematics,,https://www.gu.se/en/study-gothenburg/MMA511
Laser Physics,7.5,Umeå University,Umeå,Open for late application,17850,17850,Autumn 2023 Period 1,28 Aug - 5 Nov,Master's,English,UMU-53027,"Course, On-campus",,Half-time,Daytime,Umeå,"Engineering Physics, Physics",Technology | Natural Science,,http://www.umu.se/english/education/courses-and-programmes/course?code=5FY175
Latent variable modeling I. Structural equation modeling,7.5,The Swedish School of Sport and Health Sciences,Stockholm,Cancelled,Information not available,Information not available,Autumn 2023 Period 1,28 Aug - 29 Oct,Master's,English,GIH-23240,"Course, On-campus",,Half-time,Mixed-time,Stockholm,,,,https://kurswebb.gih.se/
Latin American Social History,7.5,Stockholm University,Varied,Closed for late application,11250,11250,Autumn 2023 Period 1,28 Aug - 5 Nov,Master's,English,SU-07901,"Course, Distance",0,Half-time,Daytime,Varied,Area Studies,Humanities | Social Science and Behavioural Science,,https://sisu.it.su.se/search/info/LA7101/en?eventident=07901&semester=20234
Latin American Social History,7.5,Stockholm University,Stockholm,Closed for late application,11250,11250,Autumn 2023 Period 1,28 Aug - 5 Nov,Master's,English,SU-07902,"Course, On-campus",,Half-time,Daytime,Stockholm,Area Studies,Humanities | Social Science and Behavioural Science,,https://sisu.it.su.se/search/info/LA7101/en?eventident=07902&semester=20234
Latin American Social History,7.5,Stockholm University,Varied,Closed and will not be opened for late application,11250,11250,Autumn 2023 Period 1,28 Aug - 5 Nov,Master's,English,SU-07993,"Course, Distance",0,Half-time,Daytime,Varied,Area Studies,Humanities | Social Science and Behavioural Science,,https://sisu.it.su.se/search/info/LA7101/en?eventident=07993&semester=20234
Latin American Social History,7.5,Stockholm University,Stockholm,Closed and will not be opened for late application,11250,11250,Autumn 2023 Period 1,28 Aug - 5 Nov,Master's,English,SU-07994,"Course, On-campus",,Half-time,Daytime,Stockholm,Area Studies,Humanities | Social Science and Behavioural Science,,https://sisu.it.su.se/search/info/LA7101/en?eventident=07994&semester=20234
Latin American Studies I,30,Stockholm University,Stockholm,Closed for late application,45000,45000,Autumn 2023 Period 1,28 Aug - 14 Jan,Bachelor's,English,SU-07907,"Course, On-campus",,Full-time,Daytime,Stockholm,Area Studies,Humanities | Social Science and Behavioural Science,,https://sisu.it.su.se/search/info/LAS100/en?eventident=07907&semester=20234
Latin American Studies I,30,Stockholm University,Stockholm,Open for late application,45000,45000,Autumn 2023 Period 1,28 Aug - 14 Jan,Bachelor's,English,SU-07010,"Course, On-campus",,Full-time,Daytime,Stockholm,Area Studies,Humanities | Social Science and Behavioural Science,,https://sisu.it.su.se/search/info/LAS100/en?eventident=07010&semester=20234
"Latin American Studies, Theory and Methodology",7.5,Stockholm University,Stockholm,Open for late application,11250,11250,Autumn 2023 Period 1,28 Aug - 1 Oct,Master's,English,SU-07992,"Course, On-campus",,Full-time,Daytime,Stockholm,Area Studies,Humanities | Social Science and Behavioural Science,,https://sisu.it.su.se/search/info/LA4403/en?eventident=07992&semester=20234
"Latin American thinking: socio-economic, political and cultural ideas",7.5,Stockholm University,Varied,Closed for late application,11250,11250,Autumn 2023 Period 2,30 Oct - 14 Jan,Master's,English,SU-07903,"Course, Distance",0,Half-time,Daytime,Varied,Area Studies,Humanities | Social Science and Behavioural Science,,https://sisu.it.su.se/search/info/LA7102/en?eventident=07903&semester=20234
"Latin American thinking: socio-economic, political and cultural ideas",7.5,Stockholm University,Stockholm,Closed for late application,11250,11250,Autumn 2023 Period 2,30 Oct - 14 Jan,Master's,English,SU-07904,"Course, On-campus",,Half-time,Daytime,Stockholm,Area Studies,Humanities | Social Science and Behavioural Science,,https://sisu.it.su.se/search/info/LA7102/en?eventident=07904&semester=20234
"Latin American thinking: socio-economic, political and cultural ideas",7.5,Stockholm University,Varied,Closed and will not be opened for late application,11250,11250,Autumn 2023 Period 2,30 Oct - 14 Jan,Master's,English,SU-07995,"Course, Distance",0,Half-time,Daytime,Varied,Area Studies,Humanities | Social Science and Behavioural Science,,https://sisu.it.su.se/search/info/LA7102/en?eventident=07995&semester=20234
"Latin American thinking: socio-economic, political and cultural ideas",7.5,Stockholm University,Stockholm,Closed and will not be opened for late application,11250,11250,Autumn 2023 Period 2,30 Oct - 14 Jan,Master's,English,SU-07996,"Course, On-campus",,Half-time,Daytime,Stockholm,Area Studies,Humanities | Social Science and Behavioural Science,,https://sisu.it.su.se/search/info/LA7102/en?eventident=07996&semester=20234
Latvian I,30,Stockholm University,Stockholm,Closed for late application,62500,62500,Autumn 2023 Period 1,28 Aug - 14 Jan,Bachelor's,English,SU-25072,"Course, On-campus",,Full-time,Daytime,Stockholm,Latvian,Languages,,https://sisu.it.su.se/search/info/BAL116/en?eventident=25072&semester=20234
Latvian III,30,Stockholm University,Stockholm,Closed for late application,62500,62500,Autumn 2023 Period 1,28 Aug - 14 Jan,Bachelor's,English,SU-25073,"Course, On-campus",,Full-time,Mixed-time,Stockholm,Latvian,Languages,,https://sisu.it.su.se/search/info/BAL135/en?eventident=25073&semester=20234
Latvian Language Proficiency I,7.5,Stockholm University,Varied,Closed for late application,15625,15625,Autumn 2023 Period 1,25 Sept - 3 Dec,Bachelor's,English,SU-25063,"Course, Distance",0,Half-time,No teaching,Varied,Latvian,Languages,,https://sisu.it.su.se/search/info/BA1161/en?eventident=25063&semester=20234
Latvian Language Proficiency II,7.5,Stockholm University,Varied,Closed for late application,15625,15625,Autumn 2023 Period 1,25 Sept - 3 Dec,Bachelor's,English,SU-25064,"Course, Distance",0,Half-time,No teaching,Varied,Latvian,Languages,,https://sisu.it.su.se/search/info/BA1162/en?eventident=25064&semester=20234
Latvian Language Proficiency III,7.5,Stockholm University,Varied,Closed for late application,15625,15625,Autumn 2023 Period 1,25 Sept - 3 Dec,Bachelor's,English,SU-25065,"Course, Distance",0,Half-time,Mixed-time,Varied,Latvian,Languages,,https://sisu.it.su.se/search/info/BA1163/en?eventident=25065&semester=20234
Latvian Language Proficiency IV,7.5,Stockholm University,Varied,Closed for late application,15625,15625,Autumn 2023 Period 1,25 Sept - 3 Dec,Bachelor's,English,SU-25066,"Course, Distance",0,Half-time,Mixed-time,Varied,Latvian,Languages,,https://sisu.it.su.se/search/info/BA1164/en?eventident=25066&semester=20234
Leadership across Cultures,7.5,Linköping University,Linköping,Open for late application,8745,8745,Autumn 2023 Period 1,25 Sept - 29 Oct,Bachelor's,English,LIU-42109,"Course, On-campus",,Full-time,Daytime,Linköping,"Business Administration, International Business Management, Leadership, Organisation and Management",Organisation and Management | Leadership | Business Administration and Economics,,https://liu.se/en/education/course/723G93
"Leadership and Management in International Contexts, Master Programme",60,Linnaeus University (Kalmar Växjö),Kalmar,Closed for late application,55000,110000,Autumn 2023 Period 1,,Master's,English,LNU-F1939,"Programme, On-campus",,Full-time,Daytime,Kalmar,"Business Administration, International Business Management, Leadership, Organisation and Management",Organisation and Management | Leadership | Business Administration and Economics,28 Aug,https://lnu.se/en/programme/EALM1/20232/F1939
"Leadership and Organisation: Societal Challenges and Organisational Changes, Master's Programme (Two-Year)",120,Malmö University,Malmö,Closed for late application,48750,195000,Autumn 2023 Period 1,,Master's,English,MAU-34123,"Programme, On-campus",,Full-time,Daytime,Malmö,"Leadership, Organisation and Management, Social Science and Behavioural Science",Organisation and Management | Leadership | Social Science and Behavioural Science,28 Aug,https://mau.se/en/study-education/programme/SASCO
"Leadership and Organisation: Societal Challenges and Organisational Changes, Master's Programme (Two-Year)",120,Malmö University,Malmö,Closed for late application,48750,195000,Autumn 2023 Period 1,,Master's,English,MAU-34124,"Programme, On-campus",,Full-time,Daytime,Malmö,"Leadership, Organisation and Management, Social Science and Behavioural Science",Organisation and Management | Leadership | Social Science and Behavioural Science,28 Aug,https://mau.se/en/study-education/programme/SASCO
Leadership and sustainability,15,Swedish University of Agricultural Sciences,Uppsala,Open for late application,26170,26170,Autumn 2023 Period 2,30 Oct - 14 Jan,Master's,English,SLU-20167,"Course, On-campus",,Full-time,Daytime,Uppsala,Business Administration,Business Administration and Economics,,https://www.slu.se/en/education/programmes-courses/course/88c7f469-5447-11ed-ae33-5e2774394450
Leadership for Safe Nuclear Power Industry,6,KTH Royal Institute of Technology,Stockholm,Open for late application,15500,15500,Autumn 2023 Period 1,28 Aug - 29 Oct,Master's,English,KTH-50195,"Course, On-campus",,Half-time,Daytime,Stockholm,Engineering Physics,Technology,,https://www.kth.se/student/kurser/kurs/SH2610?startterm=20232&l=en
"Leadership for Sustainability, Master's Programme (One-Year)",60,Malmö University,Malmö,Closed for late application,50000,100000,Autumn 2023 Period 1,,Master's,English,MAU-34122,"Programme, On-campus",,Full-time,Daytime,Malmö,"Business Administration and Economics, Leadership, Organisation and Management, Social Science and Behavioural Science",Organisation and Management | Leadership | Business Administration and Economics | Social Science and Behavioural Science,28 Aug,https://mau.se/en/study-education/programme/SALSU
"Leadership for Sustainability, Master's Programme (One-Year)",60,Malmö University,Malmö,Closed for late application,50000,100000,Autumn 2023 Period 1,,Master's,English,MAU-34112,"Programme, On-campus",,Full-time,Daytime,Malmö,"Business Administration and Economics, Leadership, Organisation and Management, Social Science and Behavioural Science",Organisation and Management | Leadership | Business Administration and Economics | Social Science and Behavioural Science,28 Aug,https://mau.se/en/study-education/programme/SALSU
Leadership for Sustainable Development: Master's Programme Economics,120,Södertörn University,Huddinge,Open for late application,46000,184000,Autumn 2023 Period 1,,Master's,English,SH-43092,"Programme, On-campus",,Full-time,Daytime,Huddinge,Economics,Business Administration and Economics,28 Aug,https://sh.se/study?code=P4323&lang=en
Leadership for Sustainable Development: Master's Programme Economics (INT),120,Södertörn University,Huddinge,Closed and will not be opened for late application,46000,184000,Autumn 2023 Period 1,,Master's,English,SH-43055,"Programme, On-campus",,Full-time,Daytime,Huddinge,Economics,Business Administration and Economics,28 Aug,https://sh.se/study?code=P4329&lang=en
"Leadership for Sustainable Development: Master's Programme, Business studies",120,Södertörn University,Huddinge,Open for late application,46000,184000,Autumn 2023 Period 1,,Master's,English,SH-43091,"Programme, On-campus",,Full-time,Daytime,Huddinge,Business Administration,Business Administration and Economics,28 Aug,https://sh.se/study?code=P4322&lang=en
"Leadership for Sustainable Development: Master's Programme, Business studies (INT)",120,Södertörn University,Huddinge,Closed and will not be opened for late application,46000,184000,Autumn 2023 Period 1,,Master's,English,SH-43056,"Programme, On-campus",,Full-time,Daytime,Huddinge,Business Administration,Business Administration and Economics,28 Aug,https://sh.se/study?code=P4330&lang=en
"Leadership for Sustainable Development: Master's Programme, Sociology",120,Södertörn University,Huddinge,Open for late application,46000,184000,Autumn 2023 Period 1,,Master's,English,SH-43093,"Programme, On-campus",,Full-time,Daytime,Huddinge,Sociology,Social Science and Behavioural Science,28 Aug,https://sh.se/study?code=P4324&lang=en
"Leadership for Sustainable Development: Master's Programme, Sociology (INT)",120,Södertörn University,Huddinge,Closed and will not be opened for late application,46000,184000,Autumn 2023 Period 1,,Master's,English,SH-43058,"Programme, On-campus",,Full-time,Daytime,Huddinge,Sociology,Social Science and Behavioural Science,28 Aug,https://sh.se/study?code=P4331&lang=en
Leadership in Public Administration,15,Umeå University,Umeå,Closed and will not be opened for late application,23250,23250,Autumn 2023 Period 2,30 Oct - 14 Jan,Master's,English,UMU-F2602,"Course, On-campus",,Full-time,Daytime,Umeå,Political Science,Social Science and Behavioural Science,,http://www.umu.se/english/education/courses-and-programmes/course?code=2SV001
Leadership in Public Administration,15,Umeå University,Umeå,Open for late application,23250,23250,Autumn 2023 Period 2,30 Oct - 14 Jan,Master's,English,UMU-26011,"Course, On-campus",,Full-time,Daytime,Umeå,Political Science,Social Science and Behavioural Science,,http://www.umu.se/english/education/courses-and-programmes/course?code=2SV001
Leadership in sport coaching,7.5,Linnaeus University (Kalmar Växjö),Varied,Closed for late application,13700,13700,Autumn 2023 Period 2,6 Nov - 14 Jan,Master's,English,LNU-F1936,"Course, Distance",0,Half-time,No teaching,Varied,Sport Science,Health and Medical Care,,https://lnu.se/en/course/4IV324/20232/F1936
Leadership in the Outdoors,7.5,Umeå University,Umeå,Open for late application,26163,26163,Autumn 2023 Period 1,28 Aug - 1 Oct,Bachelor's,English,UMU-72013,"Course, On-campus",,Full-time,Daytime,Umeå,"Education, Leadership, Organisation and Management, Sport Science",Education/Educational Sciences/Didactics | Leadership | Health and Medical Care | Organisation and Management,,http://www.umu.se/english/education/courses-and-programmes/course?code=6ID027
"LeaDS - Learning, Digitalization, and Sustainability (One Year)",60,Jönköping University,Varied,Closed for late application,58500,117000,Autumn 2023 Period 1,,Master's,English,HJ-MU132,"Programme, Distance learning",0,Full-time,Mixed-time,Varied,Education,Education/Educational Sciences/Didactics,21 Aug,http://ju.se/en/study-at-ju/our-programmes/master-programmes/learning-digitalization-and-sustainability-leads-one-year.html
"LeaDS - Learning, Digitalization, and Sustainability (Two Years)",120,Jönköping University,Varied,Closed for late application,58500,234000,Autumn 2023 Period 1,,Master's,English,HJ-MU131,"Programme, Distance learning",0,Full-time,Mixed-time,Varied,Education,Education/Educational Sciences/Didactics,21 Aug,http://ju.se/en/study-at-ju/our-programmes/master-programmes/learning-digitalization-and-sustainability-leads-two-years.html
Lean Production,7.5,Linnaeus University (Kalmar Växjö),Växjö,Closed for late application,19300,19300,Autumn 2023 Period 1,28 Aug - 5 Nov,Bachelor's,English,LNU-F2023,"Course, On-campus",,Half-time,Daytime,Växjö,"Mechanical Engineering, Technology",Technology,,https://lnu.se/en/course/2MT005/20232/F2023
Life Cycle Analysis (LCA),7.5,Linnaeus University (Kalmar Växjö),Växjö,Closed for late application,19300,19300,Autumn 2023 Period 2,6 Nov - 14 Jan,Master's,English,LNU-F1984,"Course, On-campus",,Half-time,Daytime,Växjö,"Building Technology and Civil Engineering, Environmental Techniques and Energy Technology","Materials, Construction and Manufacturing | Technology | Natural Science",,https://lnu.se/en/course/4BT312/20232/F1984
Linear Algebra and Learning from Data,7.5,Stockholm University,Stockholm,Open for late application,17500,17500,Autumn 2023 Period 1,28 Aug - 29 Oct,Master's,English,SU-48199,"Course, On-campus",,Half-time,Daytime,Stockholm,Mathematics,Mathematics,,https://sisu.it.su.se/search/info/MM7024/en?eventident=48199&semester=20234
Linear Control Systems,7.5,Umeå University,Umeå,Open for late application,17850,17850,Autumn 2023 Period 1,28 Aug - 5 Nov,Master's,English,UMU-54243,"Course, On-campus",,Half-time,Daytime,Umeå,"Automatic Control, Electronics",Technology,,http://www.umu.se/english/education/courses-and-programmes/course?code=5EL263
Linear Methods with Applications in R,7.5,Karlstad University,Karlstad,Open for late application,21000,21000,Autumn 2023 Period 1,28 Aug - 5 Nov,Bachelor's,English,KAU-41818,"Course, On-campus",,Half-time,Daytime,Karlstad,Statistics,Social Science and Behavioural Science | Mathematics,,http://www.kau.se/en/education/programmes-and-courses/courses/STGB33?occasion=41818
Linear Statistical Models,7.5,University of Gothenburg,Göteborg,Open for late application,15500,15500,Autumn 2023 Period 2,30 Oct - 14 Jan,Bachelor's,English,GU-11710,"Course, On-campus",,Half-time,Daytime,Göteborg,Mathematical Statistics,Mathematics,,https://www.gu.se/en/study-gothenburg/MSG500
Linguistic and Literary Theory and Method,5,Linköping University,Linköping,Open for late application,5830,5830,Autumn 2023 Period 1,21 Aug - 29 Oct,Bachelor's,English,LIU-43151,"Course, On-campus",,Three-quarter-time,Daytime,Linköping,English,Languages,,https://liu.se/en/education/course/711g63
Linguistic Ethnography from an Educational Perspective,7.5,Stockholm University,Varied,Closed for late application,11250,11250,Autumn 2023 Period 1,28 Aug - 14 Jan,Master's,English,SU-17683,"Course, Distance",0,One-quarter-time,Daytime,Varied,Educational Sciences/Didactics,Education/Educational Sciences/Didactics,,https://sisu.it.su.se/search/info/US544F/en?eventident=17683&semester=20234
Linguistic Ethnography from an Educational Perspective,7.5,Stockholm University,Varied,Open for late application,11250,11250,Autumn 2023 Period 1,28 Aug - 14 Jan,Master's,English,SU-17785,"Course, Distance",0,One-quarter-time,Daytime,Varied,Educational Sciences/Didactics,Education/Educational Sciences/Didactics,,https://sisu.it.su.se/search/info/US544F/en?eventident=17785&semester=20234
Linguistic methods,7.5,University of Gothenburg,Göteborg,Open for late application,11125,11125,Autumn 2023 Period 1,28 Aug - 14 Jan,Master's,English,GU-12492,"Course, On-campus",,One-quarter-time,Daytime,Göteborg,Linguistics,Humanities,,https://www.gu.se/en/study-gothenburg/LI2102
Linguistic perspectives,15,Linnaeus University (Kalmar Växjö),Växjö,Closed for late application,27500,27500,Autumn 2023 Period 1,28 Aug - 14 Jan,Master's,English,LNU-F1971,"Course, On-campus",,Half-time,Daytime,Växjö,"English, Languages, Linguistics",Humanities | Languages,,https://lnu.se/en/course/4EN006/20232/F1971
Linguistic perspectives,15,Linnaeus University (Kalmar Växjö),Växjö,Closed for late application,27500,27500,Autumn 2023 Period 1,28 Aug - 14 Jan,Master's,English,LNU-F1972,"Course, Distance",,Half-time,Daytime,Växjö,"English, Languages, Linguistics",Humanities | Languages,,https://lnu.se/en/course/4EN006/20232/F1972
Linguistic Theory and Methodology,7.5,Stockholm University,Varied,Closed for late application,14375,14375,Autumn 2023 Period 2,30 Oct - 14 Jan,Master's,English,SU-20026,"Course, Distance",0,Half-time,Daytime,Varied,Linguistics,Humanities,,https://sisu.it.su.se/search/info/LIM031/en?eventident=20026&semester=20234
Linguistic Theory and Methodology,7.5,Stockholm University,Varied,Open for late application,14375,14375,Autumn 2023 Period 2,30 Oct - 14 Jan,Master's,English,SU-20073,"Course, Distance",0,Half-time,Daytime,Varied,Linguistics,Humanities,,https://sisu.it.su.se/search/info/LIM031/en?eventident=20073&semester=20234
