subject_areas,Top_Level_Subjects
"Leadership, Organisation and Management, Peace and Development Studies, Public Administration, Social Science and Behavioural Science","['Organisation and Management', 'Leadership', 'Social Science and Behavioural Science']"
Social Anthropology,['Social Science and Behavioural Science']
Conservation,['Humanities']
"Computer Science, Computer Technology, Technology","['Technology', 'Computer Science and Engineering']"
Business Administration and Economics,['Business Administration and Economics']
"Computer Science and Engineering, Computer Technology, Information Technology","['Technology', 'Computer Science and Engineering']"
"Computer Science and Engineering, Computer Technology, Information Technology","['Technology', 'Computer Science and Engineering']"
Sociology,['Social Science and Behavioural Science']
"Arts, Design and Media, Design","['Arts, Design and Media', 'Arts', 'Design and Media']"
Computer Science and Engineering,['Computer Science and Engineering']
Architecture,"['Materials, Construction and Manufacturing', 'Arts, Design and Media']"
Humanities,['Humanities']
Technology,['Technology']
"Biotechnology, Chemistry, Medicine, Pharmacology and Pharmacy","['Health and Medical Care', 'Technology', 'Natural Science']"
"Cultural Studies, Economic History, History, Humanities","['Humanities', 'Business Administration and Economics', 'Social Science and Behavioural Science']"
"Earth Science, Human Geography and Geography, Natural Science","['Natural Science', 'Social Science and Behavioural Science']"
"Earth Science, Human Geography and Geography, Natural Science","['Natural Science', 'Social Science and Behavioural Science']"
Earth Science,['Natural Science']
"Earth Science, Hydrology",['Natural Science']
"Biology, Earth Science, Palaeontology",['Natural Science']
"Earth Science, Human Geography and Geography","['Natural Science', 'Social Science and Behavioural Science']"
"Bedrock Geology, Climatology, Earth Science, Geophysics, Geophysics, Hydrology",['Natural Science']
"Bedrock Geology, Climatology, Earth Science, Geophysics, Geophysics, Hydrology",['Natural Science']
"Biology, Conservation Biology, Ecology",['Natural Science']
"Biology, Conservation Biology, Ecology",['Natural Science']
"Biology, Ecology",['Natural Science']
Business Administration and Economics,['Business Administration and Economics']
Economics,['Business Administration and Economics']
"Business Administration and Economics, Economics, Social Science and Behavioural Science","['Business Administration and Economics', 'Social Science and Behavioural Science']"
"Business Administration and Economics, Economics, Social Science and Behavioural Science","['Business Administration and Economics', 'Social Science and Behavioural Science']"
Education,['Education/Educational Sciences/Didactics']
Education,['Education/Educational Sciences/Didactics']
"Archaeology , Classical Archaeology and Ancient History, Egyptology, Humanities, Languages","['Humanities', 'Languages']"
"Electrical Engineering, Electronics",['Technology']
Electronics,['Technology']
"Automatic Control, Automation Technology, Computer Science, Computer Technology, Embedded systems, Information Technology","['Technology', 'Computer Science and Engineering']"
,['']
"Architecture, Building Technology , Environmental Techniques and Energy Technology","['Materials, Construction and Manufacturing', 'Arts, Design and Media', 'Natural Science', 'Technology']"
"Logic, Mathematical Statistics, Mathematics , Numerical Analysis",['Mathematics']
"Comparative Literature, English","['Humanities', 'Languages']"
English,['Languages']
"Comparative Literature, English","['Humanities', 'Languages']"
Entrepreneurship,"['Health and Medical Care', 'Technology', 'Business Administration and Economics', 'Social Science and Behavioural Science']"
"Environmental Techniques and Energy Technology, Natural Science, Technology","['Technology', 'Natural Science']"
"Environmental Science, Care and Protection, Human Geography and Geography, Human Geography and Geography, Physical Planning","['Natural Science', 'Care and Protection', 'Environmental Science', 'Materials, Construction and Manufacturing', 'Social Science and Behavioural Science']"
"Environmental Science, Care and Protection","['Care and Protection', 'Environmental Science']"
"Earth Science, Environmental Science, Care and Protection","['Care and Protection', 'Environmental Science', 'Natural Science']"
"Earth Science, Environmental Science, Care and Protection","['Care and Protection', 'Environmental Science', 'Natural Science']"
"Biology, Chemistry, Environmental Science, Care and Protection, Toxicology","['Care and Protection', 'Environmental Science', 'Natural Science', 'Health and Medical Care']"
"Biology, Chemistry, Environmental Science, Care and Protection, Toxicology","['Care and Protection', 'Environmental Science', 'Natural Science', 'Health and Medical Care']"
"Earth Science, Ecology, Environmental Science, Care and Protection","['Care and Protection', 'Environmental Science', 'Natural Science']"
"Earth Science, Ecology, Environmental Science, Care and Protection","['Care and Protection', 'Environmental Science', 'Natural Science']"
,['']
,['']
"Bioinformatics, Biomedicine, Cell Biology, Immunology, Medical Biology, Systems Biology","['Health and Medical Care', 'Natural Science', 'Computer Science and Engineering']"
"Film Studies, Media History","['Arts, Design and Media', 'Humanities', 'Journalism, Communication and Information']"
"Business Administration, Business Administration and Economics, Finance, Management and Financial Accounting",['Business Administration and Economics']
"Business Administration, Business Administration and Economics, Finance, Management and Financial Accounting",['Business Administration and Economics']
"Finance, Mathematical Statistics, Mathematics","['Business Administration and Economics', 'Mathematics']"
"Arts, Design and Media, Crafts, Fine Arts","['Arts, Design and Media', 'Arts', 'Design and Media']"
Fine Arts,"['Arts, Design and Media']"
Music,"['Arts, Design and Media']"
"Food Science, Food Science, Technology","['Agriculture, Horticulture, Forestry and Fishery', 'Technology', 'Natural Science', 'Materials, Construction and Manufacturing']"
"Analytical Chemistry, Biomedicine, Chemistry, General Criminology, Genetics, Toxicology","['Health and Medical Care', 'Natural Science', 'Social Science and Behavioural Science']"
"Design, Game development","['Arts, Design and Media', 'Computer Science and Engineering']"
"Design, Game development","['Arts, Design and Media', 'Computer Science and Engineering']"
"Gender Studies, Gender Studies","['Humanities', 'Social Science and Behavioural Science']"
"Gender Studies, Social Science and Behavioural Science","['Humanities', 'Social Science and Behavioural Science']"
Earth Science,['Natural Science']
Earth Science,['Natural Science']
"Geophysics, Natural Science",['Natural Science']
"Geophysics, Natural Science",['Natural Science']
Human Geography and Geography,"['Natural Science', 'Social Science and Behavioural Science']"
"Human Geography and Geography, Surveying and Geographic Information Technology","['Materials, Construction and Manufacturing', 'Natural Science', 'Social Science and Behavioural Science']"
Earth Science,['Natural Science']
Earth Science,['Natural Science']
"Earth Science, Human Geography and Geography, Human Geography and Geography, Surveying and Geographic Information Technology","['Materials, Construction and Manufacturing', 'Natural Science', 'Social Science and Behavioural Science']"
"Ecology, Economic History, Global Studies, Human Ecology","['Humanities', 'Natural Science', 'Business Administration and Economics', 'Social Science and Behavioural Science']"
"Global Health, Global Studies, Health and Medical Care, Public Health","['Health and Medical Care', 'Social Science and Behavioural Science']"
"Business Administration and Economics, Development Studies, Global Health, Human Rights, Medicine, Public Health, Social Science","['Health and Medical Care', 'Business Administration and Economics', 'Social Science and Behavioural Science']"
"Business Administration and Economics, Development Studies, Global Health, Human Rights, Medicine, Public Health, Social Science","['Health and Medical Care', 'Business Administration and Economics', 'Social Science and Behavioural Science']"
"Global Health, Health and Medical Care, Public Health",['Health and Medical Care']
,['']
"Global Studies, Media and Communications Studies","['Journalism, Communication and Information', 'Social Science and Behavioural Science']"
"Global Studies, Media and Communications Studies","['Journalism, Communication and Information', 'Social Science and Behavioural Science']"
"Development Studies, Global Studies, Human Ecology, Peace and Development Studies, Social Anthropology","['Humanities', 'Social Science and Behavioural Science']"
"Development Studies, Global Studies, Human Ecology, Peace and Development Studies, Social Anthropology","['Humanities', 'Social Science and Behavioural Science']"
"Economic History, Global Studies, Social Science and Behavioural Science","['Humanities', 'Business Administration and Economics', 'Social Science and Behavioural Science']"
"Economic History, Global Studies, Social Science and Behavioural Science","['Humanities', 'Business Administration and Economics', 'Social Science and Behavioural Science']"
"Health and Medical Care, Health and Medical Service Development, Health Service Administration",['Health and Medical Care']
"Central and Eastern European Studies, History, Human Rights, Peace and Development Studies, Psychology, Social Anthropology","['Health and Medical Care', 'Humanities', 'Social Science and Behavioural Science']"
"Cognitive Science, Computer Science, Information Systems, Information Technology, Technology in a Social Perspective","['Technology', 'Humanities', 'Computer Science and Engineering', 'Social Science and Behavioural Science']"
"Cognitive Science, Computer Science, Information Systems, Information Technology, Technology in a Social Perspective","['Technology', 'Humanities', 'Computer Science and Engineering', 'Social Science and Behavioural Science']"
"Human Geography and Geography, Human Geography and Geography","['Natural Science', 'Social Science and Behavioural Science']"
"Human Geography and Geography, Human Geography and Geography","['Natural Science', 'Social Science and Behavioural Science']"
"Human Geography and Geography, Social Science and Behavioural Science","['Natural Science', 'Social Science and Behavioural Science']"
"Human Geography and Geography, Social Science and Behavioural Science","['Natural Science', 'Social Science and Behavioural Science']"
"Computer Science, Computer Science and Engineering, Human-Computer Interaction, Information Systems",['Computer Science and Engineering']
"Global Health, Law and Legal Studies, Peace and Development Studies, Public Health, Religious Studies, Social Anthropology","['Health and Medical Care', 'Religious Studies', 'Law and Legal Studies', 'Social Science and Behavioural Science']"
"Computer Science, Information Technology, Robotics, Signal processing","['Technology', 'Computer Science and Engineering']"
"Development Studies, Educational Sciences/Didactics","['Education/Educational Sciences/Didactics', 'Social Science and Behavioural Science']"
"Computer Science, Computer Science and Engineering, Information Systems, Information Technology, Logistics, Mechanical Engineering, Technology","['Technology', 'Computer Science and Engineering']"
"Arts, Design and Media, Design, Technical Design","['Arts, Design and Media', 'Technology', 'Arts', 'Design and Media']"
"Entrepreneurship, Industrial Economics, Organisation and Management","['Industrial Economics', 'Technology', 'Business Administration and Economics', 'Organisation and Management', 'Health and Medical Care', 'Social Science and Behavioural Science']"
"Bioinformatics, Biomedicine, Food Science, Global Health, Medicine, Microbiology, Molecular Biology","['Natural Science', 'Agriculture, Horticulture, Forestry and Fishery', 'Materials, Construction and Manufacturing', 'Computer Science and Engineering', 'Health and Medical Care']"
"Bioinformatics, Biomedicine, Food Science, Global Health, Medicine, Microbiology, Molecular Biology","['Natural Science', 'Agriculture, Horticulture, Forestry and Fishery', 'Materials, Construction and Manufacturing', 'Computer Science and Engineering', 'Health and Medical Care']"
Information Systems,['Computer Science and Engineering']
"Human-Computer Interaction, Information Systems, Information Technology, Project Management","['Technology', 'Business Administration and Economics', 'Computer Science and Engineering', 'Health and Medical Care', 'Social Science and Behavioural Science']"
"Design, Entrepreneurship, Industrial Economics, Organisation and Management, Information Technology, Innovation Technology, Leadership, Organisation and Management, Mechanical Engineering","['Arts, Design and Media', 'Industrial Economics', 'Technology', 'Business Administration and Economics', 'Organisation and Management', 'Computer Science and Engineering', 'Health and Medical Care', 'Leadership', 'Social Science and Behavioural Science']"
"Computer Science, Computer Science and Engineering, Computer Technology, Embedded systems","['Technology', 'Computer Science and Engineering']"
Design,"['Arts, Design and Media']"
Political Science,['Social Science and Behavioural Science']
Political Science,['Social Science and Behavioural Science']
Political Science,['Social Science and Behavioural Science']
"Business Administration, Commercial Law, International Business Management","['Law and Legal Studies', 'Business Administration and Economics']"
,['']
"Business Administration, Business Administration and Economics, International Business Management, Marketing",['Business Administration and Economics']
Peace and Development Studies,['Social Science and Behavioural Science']
Journalism,"['Journalism, Communication and Information']"
Journalism,"['Journalism, Communication and Information']"
Law and Legal Studies,['Law and Legal Studies']
"Information Technology, Project Management, Social Science and Behavioural Science","['Technology', 'Business Administration and Economics', 'Computer Science and Engineering', 'Health and Medical Care', 'Social Science and Behavioural Science']"
"Information Technology, Project Management, Social Science and Behavioural Science","['Technology', 'Business Administration and Economics', 'Computer Science and Engineering', 'Health and Medical Care', 'Social Science and Behavioural Science']"
Journalism,"['Journalism, Communication and Information']"
Archaeology,['Humanities']
Archaeology,['Humanities']
"Earth Science, Ecology, Human Geography and Geography, Surveying and Geographic Information Technology","['Materials, Construction and Manufacturing', 'Natural Science', 'Social Science and Behavioural Science']"
Languages,['Languages']
"Classical Archaeology and Ancient History, Greek, Humanities, Languages, Linguistics","['Humanities', 'Languages']"
"Cognitive Science, Languages, Linguistics","['Humanities', 'Computer Science and Engineering', 'Social Science and Behavioural Science', 'Languages']"
"English, Languages, Linguistics","['Humanities', 'Languages']"
"Languages, Linguistics","['Humanities', 'Languages']"
"Chinese, French, Italian, Japanese, Languages, Linguistics, Modern Greek","['Humanities', 'Languages']"
"Languages, Linguistics, Swedish as a Foreign Language","['Humanities', 'Languages']"
"Languages, Linguistics, Nordic Languages, Swedish","['Humanities', 'Languages']"
Languages,['Languages']
"Languages, Latvian, Lithuanian",['Languages']
"French, Languages",['Languages']
"Italian, Languages",['Languages']
English,['Languages']
"Languages, Latin",['Languages']
"Languages, Portuguese",['Languages']
"Languages, Spanish",['Languages']
"Bilingualism, Languages",['Languages']
"German, Languages",['Languages']
Linguistics,['Humanities']
"Finnish, Languages",['Languages']
Languages,['Languages']
"Languages, Latvian, Lithuanian",['Languages']
English,['Languages']
"Finnish, Languages",['Languages']
"French, Languages",['Languages']
"Italian, Languages",['Languages']
"Languages, Latin",['Languages']
"Languages, Portuguese",['Languages']
"Languages, Spanish",['Languages']
"Bilingualism, Languages",['Languages']
"German, Languages",['Languages']
Linguistics,['Humanities']
"Computer Linguistics, Computer Linguistics , Computer Science, Information Systems, Information Technology, Linguistics, Translation and Interpretation","['Technology', 'Humanities', 'Computer Science and Engineering', 'Languages']"
"Languages, Linguistics","['Humanities', 'Languages']"
"Comparative Literature, German, Languages, Linguistics","['Humanities', 'Languages']"
"Languages, Linguistics, Turkic Languages","['Humanities', 'Languages']"
"Comparative Literature, Greek","['Humanities', 'Languages']"
"Comparative Literature, English","['Humanities', 'Languages']"
"Comparative Literature, Finnish","['Humanities', 'Languages']"
"Comparative Literature, French","['Humanities', 'Languages']"
"Comparative Literature, Italian","['Humanities', 'Languages']"
"Comparative Literature, Latin","['Humanities', 'Languages']"
"Comparative Literature, Polish","['Humanities', 'Languages']"
"Comparative Literature, Portuguese","['Humanities', 'Languages']"
"Comparative Literature, Russian","['Humanities', 'Languages']"
"Comparative Literature, Spanish","['Humanities', 'Languages']"
"Comparative Literature, Czech","['Humanities', 'Languages']"
"Comparative Literature, German","['Humanities', 'Languages']"
"Comparative Literature, Greek","['Humanities', 'Languages']"
"Comparative Literature, English","['Humanities', 'Languages']"
"Comparative Literature, Finnish","['Humanities', 'Languages']"
"Comparative Literature, French","['Humanities', 'Languages']"
"Comparative Literature, Italian","['Humanities', 'Languages']"
"Comparative Literature, Latin","['Humanities', 'Languages']"
"Comparative Literature, Polish","['Humanities', 'Languages']"
"Comparative Literature, Portuguese","['Humanities', 'Languages']"
"Comparative Literature, Russian","['Humanities', 'Languages']"
"Comparative Literature, Spanish","['Humanities', 'Languages']"
"Comparative Literature, Czech","['Humanities', 'Languages']"
"Comparative Literature, German","['Humanities', 'Languages']"
Comparative Literature,['Humanities']
Comparative Literature,['Humanities']
Comparative Literature,['Humanities']
Comparative Literature,['Humanities']
Comparative Literature,['Humanities']
Comparative Literature,['Humanities']
Comparative Literature,['Humanities']
Comparative Literature,['Humanities']
Logistics,['Technology']
"Automatic Control, Mathematics , Technology","['Technology', 'Mathematics']"
"Business Administration, Business Administration and Economics, Leadership, Organisation and Management","['Organisation and Management', 'Leadership', 'Business Administration and Economics']"
"Business Administration, Business Administration and Economics, Leadership, Organisation and Management","['Organisation and Management', 'Leadership', 'Business Administration and Economics']"
"Leadership, Organisation and Management","['Organisation and Management', 'Leadership']"
"Biology, Environmental Science, Care and Protection, Marine Biology","['Care and Protection', 'Environmental Science', 'Natural Science']"
"Business Administration, Business Administration and Economics",['Business Administration and Economics']
"Business Administration, Business Administration and Economics, Marketing",['Business Administration and Economics']
"Business Administration, Business Administration and Economics, Marketing",['Business Administration and Economics']
Business Administration,['Business Administration and Economics']
"Material Physics, Materials, Construction and Manufacturing, Materials Chemistry, Materials Technology, Medical Technology, Nanomaterials, Solid Mechanics","['Natural Science', 'Technology', 'Materials, Construction and Manufacturing', 'Health and Medical Care', 'Materials', 'Construction and Manufacturing']"
"Chemistry, Material Physics, Materials Chemistry, Physics",['Natural Science']
"Mathematical Statistics, Mathematics",['Mathematics']
"Mathematical Statistics, Statistics","['Social Science and Behavioural Science', 'Mathematics']"
"Mathematical Statistics, Statistics","['Social Science and Behavioural Science', 'Mathematics']"
Mathematical Statistics,['Mathematics']
Mathematics,['Mathematics']
Mathematics,['Mathematics']
Mathematics,['Mathematics']
Mathematics,['Mathematics']
"Mathematical Statistics, Mathematics",['Mathematics']
Mathematics,['Mathematics']
Mathematics,['Mathematics']
"Computational Science, Mechanical Engineering, Solid Mechanics, Technology","['Technology', 'Computer Science and Engineering']"
"Humanities, Media and Communications Studies","['Humanities', 'Journalism, Communication and Information']"
Media and Communications Studies,"['Journalism, Communication and Information']"
"Biology, Biomedicine, Health and Medical Care","['Health and Medical Care', 'Natural Science']"
"Biology, Biomedicine, Health and Medical Care","['Health and Medical Care', 'Natural Science']"
"Physics, Radiation Physics","['Health and Medical Care', 'Natural Science']"
"Physics, Radiation Physics","['Health and Medical Care', 'Natural Science']"
"Bioinformatics, Biomedicine, Cell Biology, Medical Biology, Medical Technology, Medicine, Molecular Biology","['Health and Medical Care', 'Technology', 'Natural Science', 'Computer Science and Engineering']"
"Bioinformatics, Biomedicine, Cell Biology, Medical Biology, Medical Technology, Medicine, Molecular Biology","['Health and Medical Care', 'Technology', 'Natural Science', 'Computer Science and Engineering']"
Biology,['Natural Science']
"Arabic, Middle East Studies","['Humanities', 'Social Science and Behavioural Science', 'Languages']"
"Arabic, Middle East Studies","['Humanities', 'Social Science and Behavioural Science', 'Languages']"
"Economic History, History, Media History","['Journalism, Communication and Information', 'Humanities', 'Business Administration and Economics', 'Social Science and Behavioural Science']"
"Biochemistry, Biotechnology, Cell Biology, Gene Technology, Genetics, Microbiology, Molecular Biology","['Technology', 'Natural Science']"
"Biochemistry, Biotechnology, Cell Biology, Gene Technology, Genetics, Microbiology, Molecular Biology","['Technology', 'Natural Science']"
"Biomedicine, Biotechnology, Chemistry, Molecular Biology","['Health and Medical Care', 'Technology', 'Natural Science']"
"Biology, Biomedicine, Health and Medical Care","['Health and Medical Care', 'Natural Science']"
"Biology, Biomedicine, Health and Medical Care","['Health and Medical Care', 'Natural Science']"
"Biochemistry, Bioinformatics, Biomedicine, Biophysics, Biotechnology, Gene Technology, Health and Medical Care","['Health and Medical Care', 'Technology', 'Natural Science', 'Computer Science and Engineering']"
"Biochemistry, Bioinformatics, Biomedicine, Biophysics, Biotechnology, Gene Technology, Health and Medical Care","['Health and Medical Care', 'Technology', 'Natural Science', 'Computer Science and Engineering']"
"Music, Musicology","['Arts, Design and Media', 'Humanities']"
"Humanities, Music, Musicology, Musicology , Philosophy and Logic","['Arts, Design and Media', 'Humanities']"
"Nanomaterials, Physics","['Materials, Construction and Manufacturing', 'Natural Science']"
Chemistry,['Natural Science']
Chemistry,['Natural Science']
"Biomedicine, Biomedicine, Health and Medical Care, Medicine, Natural Science, Public Health","['Health and Medical Care', 'Natural Science']"
"Business Administration, Industrial Economics, Organisation and Management, Leadership, Organisation and Management","['Organisation and Management', 'Industrial Economics', 'Leadership', 'Business Administration and Economics']"
Music,"['Arts, Design and Media']"
Chemistry,['Natural Science']
Chemistry,['Natural Science']
,['']
"Development Studies, Global Studies, Peace and Development Studies",['Social Science and Behavioural Science']
"Biotechnology, Chemistry, Medicinal Chemistry, Organic Chemistry, Pharmacology and Pharmacy","['Health and Medical Care', 'Technology', 'Natural Science']"
Technology,['Technology']
"Philosophy and Logic, Practical Philosophy, Theoretical Philosophy",['Humanities']
Technology,['Technology']
"Earth Science, Geophysics, Marine Geology, Oceanography, Physics",['Natural Science']
"Earth Science, Geophysics, Marine Geology, Oceanography, Physics",['Natural Science']
"Engineering Physics, Physics, Theoretical Physics","['Technology', 'Natural Science']"
"Engineering Physics, Physics, Theoretical Physics","['Technology', 'Natural Science']"
Physics,['Natural Science']
Physics,['Natural Science']
Physics,['Natural Science']
Physics,['Natural Science']
"Astronomy, Physics",['Natural Science']
"Nuclear Physics, Physics",['Natural Science']
"Earth Science, Geophysics, Physics",['Natural Science']
"Earth Science, Meteorology, Physics",['Natural Science']
"Nuclear Physics, Physics",['Natural Science']
"Physics, Theoretical Physics",['Natural Science']
Physics,['Natural Science']
Physics,['Natural Science']
Physics,['Natural Science']
"Biology, Biotechnology, Forestry, Gene Technology, Genetics","['Agriculture, Horticulture, Forestry and Fishery', 'Technology', 'Natural Science']"
"Biology, Biotechnology, Forestry, Gene Technology, Genetics","['Agriculture, Horticulture, Forestry and Fishery', 'Technology', 'Natural Science']"
"Earth Science, Environmental Science, Care and Protection, Human Geography and Geography, Meteorology","['Care and Protection', 'Environmental Science', 'Natural Science', 'Social Science and Behavioural Science']"
Media and Communications Studies,"['Journalism, Communication and Information']"
Media and Communications Studies,"['Journalism, Communication and Information']"
Political Science,['Social Science and Behavioural Science']
Political Science,['Social Science and Behavioural Science']
Political Science,['Social Science and Behavioural Science']
"Development Studies, Political Science",['Social Science and Behavioural Science']
"Political Science, Public Administration",['Social Science and Behavioural Science']
"Political Science, Public Administration",['Social Science and Behavioural Science']
Political Science,['Social Science and Behavioural Science']
Political Science,['Social Science and Behavioural Science']
Political Science,['Social Science and Behavioural Science']
"Bioinformatics, Genetics, Health and Medical Care","['Health and Medical Care', 'Natural Science', 'Computer Science and Engineering']"
"Bioinformatics, Genetics, Health and Medical Care","['Health and Medical Care', 'Natural Science', 'Computer Science and Engineering']"
"Business Administration, Economics, Logistics, Mechanical Engineering, Product Development","['Technology', 'Business Administration and Economics']"
Technology,['Technology']
"Cognitive Science, Psychology","['Health and Medical Care', 'Humanities', 'Computer Science and Engineering', 'Social Science and Behavioural Science']"
"Health and Medical Care, Psychology, Social Science and Behavioural Science","['Health and Medical Care', 'Social Science and Behavioural Science']"
"Health and Medical Care, Psychology, Social Science and Behavioural Science","['Health and Medical Care', 'Social Science and Behavioural Science']"
Public Health,['Health and Medical Care']
"Global Health, Health and Medical Care, Health and Medical Service Development, Public Health",['Health and Medical Care']
"Global Health, Health and Medical Care, Health and Medical Service Development, Public Health",['Health and Medical Care']
"Global Health, Health and Medical Care, Health and Medical Service Development, Public Health",['Health and Medical Care']
"Global Health, Health and Medical Care, Health and Medical Service Development, Public Health",['Health and Medical Care']
"Human Rights, Medicine, Public Health, Social Science","['Health and Medical Care', 'Social Science and Behavioural Science']"
"Human Rights, Medicine, Public Health, Social Science","['Health and Medical Care', 'Social Science and Behavioural Science']"
"Global Health, Global Studies, Health and Medical Care, Public Health","['Health and Medical Care', 'Social Science and Behavioural Science']"
"Global Health, Global Studies, Health and Medical Care, Public Health","['Health and Medical Care', 'Social Science and Behavioural Science']"
"Psychology, Public Health, Social Science, Social Science and Behavioural Science, Sociology","['Health and Medical Care', 'Social Science and Behavioural Science']"
"Public Health, Social Science and Behavioural Science","['Health and Medical Care', 'Social Science and Behavioural Science']"
"Public Health, Social Science, Social Science and Behavioural Science, Sociology","['Health and Medical Care', 'Social Science and Behavioural Science']"
"Public Health, Social Science and Behavioural Science","['Health and Medical Care', 'Social Science and Behavioural Science']"
"Global Health, Health and Medical Care, Health and Medical Service Development, Public Health",['Health and Medical Care']
"Global Health, Health and Medical Care, Health and Medical Service Development, Public Health",['Health and Medical Care']
"Human Geography and Geography, Political Science, Public Administration, Social Science and Behavioural Science, Sociology","['Natural Science', 'Social Science and Behavioural Science']"
"Electronics, Engineering Physics, Information Technology, Material Physics, Physics, Quantum Chemistry, Theoretical Physics","['Technology', 'Computer Science and Engineering', 'Natural Science']"
"Human Rights, Peace and Development Studies, Religious Studies, Social Science and Behavioural Science","['Religious Studies', 'Social Science and Behavioural Science']"
Environmental Techniques and Energy Technology,"['Technology', 'Natural Science']"
"Automatic Control, Physics, Robotics","['Technology', 'Computer Science and Engineering', 'Natural Science']"
"Automatic Control, Physics, Robotics","['Technology', 'Computer Science and Engineering', 'Natural Science']"
"Area Studies, Asian Studies, Central and Eastern European Studies, Russian","['Humanities', 'Social Science and Behavioural Science', 'Languages']"
"Comparative Literature, Linguistics, Nordic Languages, Scandinavian Studies, Scandinavian Studies","['Humanities', 'Social Science and Behavioural Science', 'Languages']"
"Gender Studies, Human Geography and Geography, Journalism, Communication and Information, Media and Communications Studies, Political Science, Social Science and Behavioural Science, Sociology","['Communication and Information', 'Humanities', 'Natural Science', 'Journalism, Communication and Information', 'Social Science and Behavioural Science']"
Social Anthropology,['Social Science and Behavioural Science']
Media and Communications Studies,"['Journalism, Communication and Information']"
Social Work and Welfare,"['Social Work and Welfare', 'Social Science and Behavioural Science']"
Social Work and Welfare,"['Social Work and Welfare', 'Social Science and Behavioural Science']"
"Biology, Ecology, Environmental Science, Care and Protection, Human Ecology","['Natural Science', 'Humanities', 'Care and Protection', 'Environmental Science', 'Social Science and Behavioural Science']"
Sociology,['Social Science and Behavioural Science']
"Education/Educational Sciences/Didactics, Educational Sciences/Didactics, History, Social Science, Sociology","['Education/Educational Sciences/Didactics', 'Humanities', 'Social Science and Behavioural Science']"
"Computer Science and Engineering, Computer Technology, Computer Technology","['Technology', 'Computer Science and Engineering']"
"Computer Science, Computer Science and Engineering, Computer Technology","['Technology', 'Computer Science and Engineering']"
"Community Planning, Human Geography and Geography, Social Science and Behavioural Science","['Materials, Construction and Manufacturing', 'Natural Science', 'Social Science and Behavioural Science']"
"Community Planning, Human Geography and Geography, Social Science and Behavioural Science","['Materials, Construction and Manufacturing', 'Natural Science', 'Social Science and Behavioural Science']"
"Cell Biology, Health and Medical Care, Molecular Biology, Physiology, Sport Science","['Health and Medical Care', 'Natural Science']"
Statistics,"['Social Science and Behavioural Science', 'Mathematics']"
Statistics,"['Social Science and Behavioural Science', 'Mathematics']"
"Mathematical Statistics, Mathematics , Statistics","['Social Science and Behavioural Science', 'Mathematics']"
Statistics,"['Social Science and Behavioural Science', 'Mathematics']"
"Computer Science and Engineering, Mathematics , Social Science and Behavioural Science","['Computer Science and Engineering', 'Social Science and Behavioural Science', 'Mathematics']"
"Computer Science and Engineering, Mathematics , Social Science and Behavioural Science","['Computer Science and Engineering', 'Social Science and Behavioural Science', 'Mathematics']"
"Humanities, Journalism, Journalism, Communication and Information, Media and Communications Studies","['Communication and Information', 'Humanities', 'Journalism, Communication and Information']"
Human Resources,"['Business Administration and Economics', 'Social Science and Behavioural Science']"
Human Resources,"['Business Administration and Economics', 'Social Science and Behavioural Science']"
,['']
"Chemical Engineering , Chemistry, Environmental Science, Care and Protection, Food, Nutrition and Home Economic Studies, Molecular Biology, Physics, Technology","['Natural Science', 'Food', 'Nutrition and Home Economic Studies', 'Technology', 'Care and Protection', 'Environmental Science']"
"Chemical Engineering , Chemistry, Environmental Science, Care and Protection, Food, Nutrition and Home Economic Studies, Molecular Biology, Physics, Technology","['Natural Science', 'Food', 'Nutrition and Home Economic Studies', 'Technology', 'Care and Protection', 'Environmental Science']"
"Entrepreneurship, Tourism and Recreation Studies","['Health and Medical Care', 'Technology', 'Business Administration and Economics', 'Social Science and Behavioural Science']"
"Environmental Science, Care and Protection","['Care and Protection', 'Environmental Science']"
"Environmental Techniques and Energy Technology, Technology","['Technology', 'Natural Science']"
"Automatic Control, Environmental Techniques and Energy Technology, Fluid Mechanics, Mechanical Engineering","['Technology', 'Natural Science']"
"Business Administration, Entrepreneurship, International Business Management, Leadership, Organisation and Management","['Technology', 'Business Administration and Economics', 'Organisation and Management', 'Health and Medical Care', 'Leadership', 'Social Science and Behavioural Science']"
Technology,['Technology']
Music,"['Arts, Design and Media']"
History of Religions,['Humanities']
History of Religions,['Humanities']
Physics,['Natural Science']
Physics,['Natural Science']
"Human Geography and Geography, Social Science and Behavioural Science","['Natural Science', 'Social Science and Behavioural Science']"
"Human Geography and Geography, Social Science and Behavioural Science","['Natural Science', 'Social Science and Behavioural Science']"
"Health and Medical Care, Toxicology, Toxicology","['Health and Medical Care', 'Natural Science']"
"Biomedicine, Health and Medical Care","['Health and Medical Care', 'Natural Science']"
Design,"['Arts, Design and Media']"
,['']
"Economics, Human Geography and Geography, Human Geography and Geography, Sociology, Statistics","['Natural Science', 'Business Administration and Economics', 'Social Science and Behavioural Science', 'Mathematics']"
"Economics, Human Geography and Geography, Human Geography and Geography, Sociology, Statistics","['Natural Science', 'Business Administration and Economics', 'Social Science and Behavioural Science', 'Mathematics']"
Technology,['Technology']
"Arts, Design and Media, Fine Arts","['Arts, Design and Media', 'Arts', 'Design and Media']"
"Peace and Development Studies, Political Science, War Studies",['Social Science and Behavioural Science']
